Date,WIG_BANKI_Open,WIG_BANKI_High,WIG_BANKI_Low,WIG_BANKI_Close,WIG_BANKI_Volume,WIG_PALIWA_Open,WIG_PALIWA_High,WIG_PALIWA_Low,WIG_PALIWA_Close,WIG_PALIWA_Volume
11/28/2010,6846.24,6898.07,6743.65,6844.2,22431316,2958.9,2981.25,2930.76,2940.12,45796209
12/5/2010,6812.19,7050.65,6768.8,7050.65,27557462,2932.6,3054.31,2875.06,3038.95,35794101
12/12/2010,7029.73,7118.27,7029.73,7101.71,28622540,3047,3183.1,3042.91,3177.95,60045096
12/19/2010,7052.36,7146.3,7035.14,7096.79,22125854,3190.89,3197.06,3152.12,3179.31,42271619
12/26/2010,7002.24,7054.72,6990.69,7017.77,11231800,3161.39,3218.47,3161.39,3193.85,23903018
1/2/2011,7006.99,7068.26,6921.28,6921.28,17035601,3193.86,3194.41,3079.41,3079.41,27470754
1/9/2011,6961.98,6973.88,6635.1,6635.1,30780938,3129.56,3171.03,3078,3084.96,29454372
1/16/2011,6571.13,6719.96,6571.13,6663.69,48413060,3040.95,3161.41,3021.3,3143.76,42419812
1/23/2011,6655.05,6947.36,6655.05,6857.98,25402113,3158.87,3227,3109.26,3155.01,53505152
1/30/2011,6767.38,6824.89,6750.73,6750.73,19037109,3108.46,3235.67,3101,3213.96,54226083
2/6/2011,6645.72,6889.83,6645.72,6868.4,39367332,3162.73,3284.22,3162.73,3234.1,153216489
2/13/2011,6901.66,6926.06,6782.51,6813.68,41554478,3259.3,3259.3,3163.12,3209.62,102745623
2/20/2011,6818.16,6818.16,6615.61,6730.25,26188544,3212.27,3212.27,3105.8,3117.15,70694047
2/27/2011,6676.51,6717.89,6625.75,6704.78,20159965,3093.94,3220.91,3093.94,3160.74,54627784
3/6/2011,6673.53,7018,6673.53,6971.3,25497144,3192.98,3396.29,3163.05,3396.29,67077600
3/13/2011,7036.78,7054.22,6880.5,6880.5,23322637,3434.07,3461.55,3358.63,3401.48,80603430
3/20/2011,6882.2,6943.66,6790.83,6910.35,29610319,3463.52,3463.52,3325.68,3448.47,59325973
3/27/2011,6914.79,7027.22,6847.08,7027.22,22013393,3456.68,3507.65,3448.63,3502.88,45386213
4/3/2011,7041.93,7233.83,7001.06,7233.83,42546492,3514.15,3665.38,3480.51,3665.38,65956363
4/10/2011,7245.85,7387.49,7222.09,7276.69,30325878,3686.87,3772.29,3680.56,3735.85,104317655
4/17/2011,7239.45,7371.58,7219.13,7337.06,27272685,3745.15,3759.99,3695.74,3736.73,73823290
4/24/2011,7287.45,7348.2,7173.04,7258.73,15392098,3723.46,3776.58,3656.55,3750.62,51831988
5/1/2011,7267.86,7316.39,7248.34,7249.52,11513690,3738.41,3776.27,3668.49,3683.51,48354917
5/8/2011,7229.14,7280.94,7206.74,7245.63,18315948,3658.69,3664.43,3525.98,3555.77,55500693
5/15/2011,7215.85,7218.11,6967.54,6967.54,34753381,3558.35,3592.95,3497.37,3538.46,74271424
5/22/2011,6976.13,7093.29,6976.13,7018.84,26315667,3514.96,3612.8,3506.9,3566.03,60238618
5/29/2011,6940.84,7046.57,6940.84,6976.36,22321737,3512.88,3664.55,3512.88,3662.36,54325106
6/5/2011,7007.99,7146.54,7007.99,7072.22,22941778,3654.11,3714.17,3616.04,3639.54,65215382
6/12/2011,7052.63,7096.99,6993.31,6993.31,23282525,3639.81,3669.01,3606.97,3612.82,71759683
6/19/2011,6995.14,7071.91,6981.69,7031.62,31278283,3620.26,3646,3554,3646,40208042
6/26/2011,7011.72,7012.41,6775.71,6775.71,24419979,3611.09,3616.07,3548.44,3569.55,30541814
7/3/2011,6763.49,6846.61,6695.43,6846.61,28818101,3531.33,3619,3501.75,3619,43749207
7/10/2011,6873.78,6935.58,6794.96,6836.52,20888500,3633.56,3705.45,3592.41,3690.26,38669639
7/17/2011,6773.39,6803.38,6615.07,6708.17,23454449,3663.67,3663.67,3445,3454.16,38289762
7/24/2011,6610.19,6781.76,6529.65,6764.16,26115824,3397.23,3397.23,3248.43,3389.96,47605120
7/31/2011,6722.6,6722.6,6497.95,6614.05,28768679,3374.79,3375.36,3277.64,3314.74,29981912
8/7/2011,6671.03,6671.03,5909.33,5909.33,45464147,3338.02,3345.23,2895.06,2927.15,52457241
8/14/2011,5853.18,5853.18,5199.66,5719.4,71869383,2893.68,2893.68,2547.02,2730.75,101616117
8/21/2011,5635.1,5820.71,5247.81,5439.45,36380260,2744.14,2858.94,2578.2,2636.89,68939986
8/28/2011,5484.97,5626.67,5482.81,5626.67,24066898,2709.66,2786,2663.77,2739.86,50343499
